Date,Open,High,Low,Close,Adj Close,Volume
10/4/2013,42.900002,42.900002,42.900002,42.900002,36.524994,0
10/7/2013,42.52,42.52,42.52,42.52,36.201466,0
10/8/2013,41.950001,41.950001,41.950001,41.950001,35.716179,0
10/9/2013,41.93,41.93,41.93,41.93,35.69915,0
10/10/2013,42.869999,42.869999,42.869999,42.869999,36.499458,0
10/11/2013,43.169998,43.169998,43.169998,43.169998,36.754879,0
10/14/2013,43.349998,43.349998,43.349998,43.349998,36.908127,0
10/15/2013,43.040001,43.040001,43.040001,43.040001,36.644199,0
10/16/2013,43.630001,43.630001,43.630001,43.630001,37.146534,0
10/17/2013,43.950001,43.950001,43.950001,43.950001,37.418976,0
10/18/2013,44.259998,44.259998,44.259998,44.259998,37.682907,0
10/21/2013,44.25,44.25,44.25,44.25,37.674385,0
10/22/2013,44.490002,44.490002,44.490002,44.490002,37.878727,0
10/23/2013,44.27,44.27,44.27,44.27,37.691414,0
10/24/2013,44.439999,44.439999,44.439999,44.439999,37.836159,0
10/25/2013,44.610001,44.610001,44.610001,44.610001,37.980896,0
10/28/2013,44.639999,44.639999,44.639999,44.639999,38.006432,0
10/29/2013,44.860001,44.860001,44.860001,44.860001,38.193737,0
10/30/2013,44.599998,44.599998,44.599998,44.599998,37.972378,0
10/31/2013,44.439999,44.439999,44.439999,44.439999,37.836159,0
11/1/2013,44.540001,44.540001,44.540001,44.540001,37.921288,0
11/4/2013,44.740002,44.740002,44.740002,44.740002,38.091572,0
11/5/2013,44.610001,44.610001,44.610001,44.610001,37.980896,0
11/6/2013,44.740002,44.740002,44.740002,44.740002,38.091572,0
11/7/2013,44.119999,44.119999,44.119999,44.119999,37.563702,0
11/8/2013,44.720001,44.720001,44.720001,44.720001,38.074535,0
11/11/2013,44.77,44.77,44.77,44.77,38.117119,0
11/12/2013,44.68,44.68,44.68,44.68,38.040482,0
11/13/2013,45.080002,45.080002,45.080002,45.080002,38.381046,0
11/14/2013,45.279999,45.279999,45.279999,45.279999,38.551331,0
11/15/2013,45.48,45.48,45.48,45.48,38.721607,0
11/18/2013,45.25,45.25,45.25,45.25,38.525784,0
11/19/2013,45.130001,45.130001,45.130001,45.130001,38.423622,0
11/20/2013,44.98,44.98,44.98,44.98,38.295906,0
11/21/2013,45.400002,45.400002,45.400002,45.400002,38.653503,0
11/22/2013,45.619999,45.619999,45.619999,45.619999,38.840809,0
11/25/2013,45.560001,45.560001,45.560001,45.560001,38.789711,0
11/26/2013,45.619999,45.619999,45.619999,45.619999,38.840809,0
11/27/2013,45.75,45.75,45.75,45.75,38.951496,0
11/29/2013,45.720001,45.720001,45.720001,45.720001,38.925945,0
12/2/2013,45.580002,45.580002,45.580002,45.580002,38.806751,0
12/3/2013,45.43,45.43,45.43,45.43,38.679039,0
12/4/2013,45.389999,45.389999,45.389999,45.389999,38.644981,0
12/5/2013,45.23,45.23,45.23,45.23,38.508759,0
12/6/2013,45.700001,45.700001,45.700001,45.700001,38.908913,0
12/9/2013,45.779999,45.779999,45.779999,45.779999,38.977016,0
12/10/2013,45.630001,45.630001,45.630001,45.630001,38.849312,0
12/11/2013,45.07,45.07,45.07,45.07,38.372528,0
12/12/2013,44.959999,44.959999,44.959999,44.959999,38.278885,0
12/13/2013,45,45,45,45,38.312927,0
12/16/2013,45.299999,45.299999,45.299999,45.299999,38.568356,0
12/17/2013,45.189999,45.189999,45.189999,45.189999,38.474701,0
12/18/2013,45.900002,45.900002,45.900002,45.900002,39.079185,0
12/19/2013,45.599998,45.599998,45.599998,45.599998,39.02784,0
12/20/2013,45.900002,45.900002,45.900002,45.900002,39.284611,0
12/23/2013,46.169998,46.169998,46.169998,46.169998,39.51569,0
12/24/2013,46.32,46.32,46.32,46.32,39.644081,0
12/26/2013,46.509998,46.509998,46.509998,46.509998,39.806694,0
12/27/2013,46.5,46.5,46.5,46.5,39.798126,0
12/30/2013,46.5,46.5,46.5,46.5,39.798126,0
12/31/2013,46.689999,46.689999,46.689999,46.689999,39.960747,0
1/2/2014,46.27,46.27,46.27,46.27,39.601276,0
1/3/2014,46.290001,46.290001,46.290001,46.290001,39.618397,0
1/6/2014,46.150002,46.150002,46.150002,46.150002,39.498573,0
1/7/2014,46.450001,46.450001,46.450001,46.450001,39.755333,0
1/8/2014,46.470001,46.470001,46.470001,46.470001,39.772465,0
1/9/2014,46.5,46.5,46.5,46.5,39.798126,0
1/10/2014,46.639999,46.639999,46.639999,46.639999,39.91795,0
1/13/2014,46.049999,46.049999,46.049999,46.049999,39.412979,0
1/14/2014,46.57,46.57,46.57,46.57,39.85804,0
1/15/2014,46.82,46.82,46.82,46.82,40.072006,0
1/16/2014,46.77,46.77,46.77,46.77,40.029221,0
1/17/2014,46.599998,46.599998,46.599998,46.599998,39.883717,0
1/21/2014,46.75,46.75,46.75,46.75,40.012104,0
1/22/2014,46.82,46.82,46.82,46.82,40.072006,0
1/23/2014,46.419998,46.419998,46.419998,46.419998,39.729656,0
1/24/2014,45.41,45.41,45.41,45.41,38.865238,0
1/27/2014,45.130001,45.130001,45.130001,45.130001,38.625584,0
1/28/2014,45.450001,45.450001,45.450001,45.450001,38.899452,0
1/29/2014,44.98,44.98,44.98,44.98,38.497204,0
1/30/2014,45.52,45.52,45.52,45.52,38.95937,0
1/31/2014,45.240002,45.240002,45.240002,45.240002,38.71973,0
2/3/2014,44.139999,44.139999,44.139999,44.139999,37.778271,0
2/4/2014,44.5,44.5,44.5,44.5,38.086384,0
2/5/2014,44.389999,44.389999,44.389999,44.389999,37.992241,0
2/6/2014,44.950001,44.950001,44.950001,44.950001,38.471531,0
2/7/2014,45.540001,45.540001,45.540001,45.540001,38.976486,0
2/10/2014,45.619999,45.619999,45.619999,45.619999,39.044956,0
2/11/2014,46.110001,46.110001,46.110001,46.110001,39.464336,0
2/12/2014,46.16,46.16,46.16,46.16,39.50713,0
2/13/2014,46.470001,46.470001,46.470001,46.470001,39.772465,0
2/14/2014,46.68,46.68,46.68,46.68,39.952187,0
2/18/2014,46.810001,46.810001,46.810001,46.810001,40.063442,0
2/19/2014,46.490002,46.490002,46.490002,46.490002,39.789574,0
2/20/2014,46.82,46.82,46.82,46.82,40.072006,0
2/21/2014,46.759998,46.759998,46.759998,46.759998,40.02066,0
2/24/2014,47.060001,47.060001,47.060001,47.060001,40.277428,0
2/25/2014,47.009998,47.009998,47.009998,47.009998,40.234619,0
2/26/2014,47.060001,47.060001,47.060001,47.060001,40.277428,0
2/27/2014,47.299999,47.299999,47.299999,47.299999,40.48283,0
2/28/2014,47.389999,47.389999,47.389999,47.389999,40.559853,0
3/3/2014,47.060001,47.060001,47.060001,47.060001,40.277428,0
3/4/2014,47.82,47.82,47.82,47.82,40.927887,0
3/5/2014,47.810001,47.810001,47.810001,47.810001,40.919327,0
3/6/2014,47.880001,47.880001,47.880001,47.880001,40.979233,0
3/7/2014,47.889999,47.889999,47.889999,47.889999,40.987793,0
3/10/2014,47.84,47.84,47.84,47.84,40.944992,0
3/11/2014,47.57,47.57,47.57,47.57,40.713921,0
3/12/2014,47.619999,47.619999,47.619999,47.619999,40.756706,0
3/13/2014,47.060001,47.060001,47.060001,47.060001,40.277428,0
3/14/2014,46.990002,46.990002,46.990002,46.990002,40.21751,0
3/17/2014,47.41,47.41,47.41,47.41,40.576977,0
3/18/2014,47.799999,47.799999,47.799999,47.799999,40.910763,0
3/19/2014,47.490002,47.490002,47.490002,47.490002,40.645447,0
3/20/2014,47.740002,47.740002,47.740002,47.740002,40.859421,0
3/21/2014,47.599998,47.599998,47.599998,47.599998,40.739586,0
3/24/2014,47.099998,47.099998,47.099998,47.099998,40.486877,0
3/25/2014,47.259998,47.259998,47.259998,47.259998,40.624393,0
3/26/2014,46.860001,46.860001,46.860001,46.860001,40.280575,0
3/27/2014,46.779999,46.779999,46.779999,46.779999,40.211803,0
3/28/2014,46.98,46.98,46.98,46.98,40.383724,0
3/31/2014,47.43,47.43,47.43,47.43,40.770538,0
4/1/2014,47.810001,47.810001,47.810001,47.810001,41.097187,0
4/2/2014,47.959999,47.959999,47.959999,47.959999,41.226124,0
4/3/2014,47.830002,47.830002,47.830002,47.830002,41.114384,0
4/4/2014,47.169998,47.169998,47.169998,47.169998,40.547043,0
4/7/2014,46.599998,46.599998,46.599998,46.599998,40.057064,0
4/8/2014,46.82,46.82,46.82,46.82,40.246181,0
4/9/2014,47.369999,47.369999,47.369999,47.369999,40.718971,0
4/10/2014,46.330002,46.330002,46.330002,46.330002,39.824978,0
4/11/2014,45.860001,45.860001,45.860001,45.860001,39.420975,0
4/14/2014,46.189999,46.189999,46.189999,46.189999,39.704643,0
4/15/2014,46.490002,46.490002,46.490002,46.490002,39.962521,0
4/16/2014,47,47,47,47,40.400894,0
4/17/2014,47.080002,47.080002,47.080002,47.080002,40.469673,0
4/21/2014,47.27,47.27,47.27,47.27,40.632999,0
4/22/2014,47.529999,47.529999,47.529999,47.529999,40.856483,0
4/23/2014,47.389999,47.389999,47.389999,47.389999,40.736153,0
4/24/2014,47.439999,47.439999,47.439999,47.439999,40.779133,0
4/25/2014,46.98,46.98,46.98,46.98,40.383724,0
4/28/2014,47.049999,47.049999,47.049999,47.049999,40.443897,0
4/29/2014,47.290001,47.290001,47.290001,47.290001,40.650196,0
4/30/2014,47.459999,47.459999,47.459999,47.459999,40.796318,0
5/1/2014,47.48,47.48,47.48,47.48,40.813507,0
5/2/2014,47.450001,47.450001,47.450001,47.450001,40.787724,0
5/5/2014,47.52,47.52,47.52,47.52,40.847897,0
5/6/2014,47.060001,47.060001,47.060001,47.060001,40.452496,0
5/7/2014,47.299999,47.299999,47.299999,47.299999,40.658794,0
5/8/2014,47.18,47.18,47.18,47.18,40.55563,0
5/9/2014,47.290001,47.290001,47.290001,47.290001,40.650196,0
5/12/2014,47.830002,47.830002,47.830002,47.830002,41.114384,0
5/13/2014,47.790001,47.790001,47.790001,47.790001,41.079998,0
5/14/2014,47.529999,47.529999,47.529999,47.529999,40.856483,0
5/15/2014,47.110001,47.110001,47.110001,47.110001,40.495476,0
5/16/2014,47.290001,47.290001,47.290001,47.290001,40.650196,0
5/19/2014,47.52,47.52,47.52,47.52,40.847897,0
5/20/2014,47.169998,47.169998,47.169998,47.169998,40.547043,0
5/21/2014,47.540001,47.540001,47.540001,47.540001,40.865093,0
5/22/2014,47.689999,47.689999,47.689999,47.689999,40.99403,0
5/23/2014,47.93,47.93,47.93,47.93,41.200329,0
5/27/2014,48.259998,48.259998,48.259998,48.259998,41.484009,0
5/28/2014,48.189999,48.189999,48.189999,48.189999,41.423832,0
5/29/2014,48.450001,48.450001,48.450001,48.450001,41.647316,0
5/30/2014,48.490002,48.490002,48.490002,48.490002,41.681709,0
6/2/2014,48.529999,48.529999,48.529999,48.529999,41.716095,0
6/3/2014,48.509998,48.509998,48.509998,48.509998,41.698895,0
6/4/2014,48.639999,48.639999,48.639999,48.639999,41.810638,0
6/5/2014,49.009998,49.009998,49.009998,49.009998,42.128689,0
6/6/2014,49.27,49.27,49.27,49.27,42.3522,0
6/9/2014,49.349998,49.349998,49.349998,49.349998,42.420956,0
6/10/2014,49.32,49.32,49.32,49.32,42.395164,0
6/11/2014,49.150002,49.150002,49.150002,49.150002,42.249035,0
6/12/2014,48.82,48.82,48.82,48.82,41.96537,0
6/13/2014,48.98,48.98,48.98,48.98,42.102909,0
6/16/2014,49.029999,49.029999,49.029999,49.029999,42.145882,0
6/17/2014,49.189999,49.189999,49.189999,49.189999,42.283421,0
6/18/2014,49.549999,49.549999,49.549999,49.549999,42.592873,0
6/19/2014,49.619999,49.619999,49.619999,49.619999,42.653046,0
6/20/2014,49.720001,49.720001,49.720001,49.720001,42.73901,0
6/23/2014,49.5,49.5,49.5,49.5,42.726055,0
6/24/2014,49.16,49.16,49.16,49.16,42.432583,0
6/25/2014,49.419998,49.419998,49.419998,49.419998,42.657001,0
6/26/2014,49.369999,49.369999,49.369999,49.369999,42.61385,0
6/27/2014,49.5,49.5,49.5,49.5,42.726055,0
6/30/2014,49.529999,49.529999,49.529999,49.529999,42.751957,0
7/1/2014,49.889999,49.889999,49.889999,49.889999,43.062691,0
7/2/2014,49.869999,49.869999,49.869999,49.869999,43.045429,0
7/3/2014,50.139999,50.139999,50.139999,50.139999,43.278473,0
7/7/2014,49.849998,49.849998,49.849998,49.849998,43.028164,0
7/8/2014,49.470001,49.470001,49.470001,49.470001,42.700161,0
7/9/2014,49.689999,49.689999,49.689999,49.689999,42.890053,0
7/10/2014,49.459999,49.459999,49.459999,49.459999,42.69154,0
7/11/2014,49.52,49.52,49.52,49.52,42.743317,0
7/14/2014,49.75,49.75,49.75,49.75,42.941841,0
7/15/2014,49.610001,49.610001,49.610001,49.610001,42.820992,0
7/16/2014,49.779999,49.779999,49.779999,49.779999,42.967743,0
7/17/2014,49.18,49.18,49.18,49.18,42.449848,0
7/18/2014,49.720001,49.720001,49.720001,49.720001,42.915966,0
7/21/2014,49.599998,49.599998,49.599998,49.599998,42.812374,0
7/22/2014,49.860001,49.860001,49.860001,49.860001,43.036797,0
7/23/2014,49.950001,49.950001,49.950001,49.950001,43.114475,0
7/24/2014,49.98,49.98,49.98,49.98,43.140362,0
7/25/2014,49.709999,49.709999,49.709999,49.709999,42.907314,0
7/28/2014,49.700001,49.700001,49.700001,49.700001,42.898693,0
7/29/2014,49.509998,49.509998,49.509998,49.509998,42.734695,0
7/30/2014,49.549999,49.549999,49.549999,49.549999,42.769222,0
